Date,Store_ID,Store_Name,Product_ID,Product_Name,Category,Units_Sold,Price,Discount,Promotion,Holiday,Day_of_Week,Month,Season,Inventory_Level
2024-01-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,85,4.99,0.0,0,0,5,1,Winter,241
2024-01-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,48,4.99,0.0,0,0,6,1,Winter,193
2024-01-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,35,4.99,0.0,0,0,0,1,Winter,158
2024-01-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,46,4.99,0.0,0,0,1,1,Winter,112
2024-01-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,45,4.99,0.0,0,0,2,1,Winter,427
2024-01-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,62,4.99,0.0,0,0,3,1,Winter,365
2024-01-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,63,4.99,0.0,0,0,4,1,Winter,302
2024-01-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,64,4.99,0.0,0,0,5,1,Winter,238
2024-01-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,82,4.99,0.0,0,0,6,1,Winter,156
2024-01-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,46,4.99,0.0,0,0,0,1,Winter,110
2024-01-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,51,4.99,0.0,0,0,1,1,Winter,419
2024-01-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.24,0.15,1,0,2,1,Winter,358
2024-01-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,79,4.24,0.15,1,0,3,1,Winter,279
2024-01-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,108,4.24,0.15,1,0,4,1,Winter,171
2024-01-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,98,4.24,0.15,1,0,5,1,Winter,73
2024-01-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,6,1,Winter,362
2024-01-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,44,4.99,0.0,0,0,0,1,Winter,318
2024-01-30,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,48,4.99,0.0,0,0,1,1,Winter,270
2024-01-31,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,2,1,Winter,221
2024-02-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,78,4.99,0.0,0,0,3,2,Winter,143
2024-02-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.99,0.0,0,0,4,2,Winter,67
2024-02-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,5,2,Winter,356
2024-02-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,79,4.99,0.0,0,0,6,2,Winter,277
2024-02-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,41,4.99,0.0,0,0,0,2,Winter,236
2024-02-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,54,4.99,0.0,0,0,1,2,Winter,182
2024-02-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,39,4.99,0.0,0,0,2,2,Winter,143
2024-02-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,3,2,Winter,94
2024-02-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,78,4.99,0.0,0,0,4,2,Winter,376
2024-02-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,94,4.99,0.0,0,0,5,2,Winter,282
2024-02-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,72,4.99,0.0,0,0,6,2,Winter,210
2024-02-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,0,2,Winter,161
2024-02-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,63,4.99,0.0,0,1,1,2,Winter,98
2024-02-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,54,4.99,0.0,0,1,2,2,Winter,404
2024-02-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,68,4.99,0.0,0,1,3,2,Winter,336
2024-02-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,4,2,Winter,265
2024-02-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,98,4.99,0.0,0,0,5,2,Winter,167
2024-02-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,107,4.24,0.15,1,0,6,2,Winter,60
2024-02-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,53,4.24,0.15,1,0,0,2,Winter,367
2024-02-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,80,4.24,0.15,1,0,1,2,Winter,287
2024-02-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.24,0.15,1,0,2,2,Winter,211
2024-02-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,3,2,Winter,156
2024-02-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,83,4.99,0.0,0,0,4,2,Winter,73
2024-02-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,98,4.99,0.0,0,0,5,2,Winter,335
2024-02-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,80,4.99,0.0,0,0,6,2,Winter,255
2024-02-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,43,4.99,0.0,0,0,0,2,Winter,212
2024-02-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,50,4.99,0.0,0,0,1,2,Winter,162
2024-02-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,58,4.99,0.0,0,0,2,2,Winter,104
2024-02-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,70,4.99,0.0,0,0,3,2,Winter,394
2024-03-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,4,3,Spring,321
2024-03-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,85,4.99,0.0,0,0,5,3,Spring,236
2024-03-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,60,4.99,0.0,0,0,6,3,Spring,176
2024-03-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,42,4.99,0.0,0,0,0,3,Spring,134
2024-03-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.99,0.0,0,0,1,3,Spring,433
2024-03-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,69,4.99,0.0,0,0,2,3,Spring,364
2024-03-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,62,4.99,0.0,0,0,3,3,Spring,302
2024-03-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,90,4.99,0.0,0,0,4,3,Spring,212
2024-03-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,92,4.99,0.0,0,0,5,3,Spring,120
2024-03-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,65,4.99,0.0,0,0,6,3,Spring,415
2024-03-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,54,4.99,0.0,0,0,0,3,Spring,361
2024-03-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,67,4.99,0.0,0,0,1,3,Spring,294
2024-03-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,57,4.99,0.0,0,0,2,3,Spring,237
2024-03-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,113,4.24,0.15,1,0,3,3,Spring,124
2024-03-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,69,4.24,0.15,1,0,4,3,Spring,415
2024-03-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,142,4.24,0.15,1,0,5,3,Spring,273
2024-03-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,106,4.24,0.15,1,0,6,3,Spring,167
2024-03-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,0,3,Spring,118
2024-03-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,1,3,Spring,423
2024-03-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,40,4.99,0.0,0,0,2,3,Spring,383
2024-03-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.99,0.0,0,0,3,3,Spring,322
2024-03-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,82,4.99,0.0,0,0,4,3,Spring,240
2024-03-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,107,4.99,0.0,0,0,5,3,Spring,133
2024-03-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,67,4.99,0.0,0,0,6,3,Spring,426
2024-03-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,45,4.99,0.0,0,0,0,3,Spring,381
2024-03-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,50,4.99,0.0,0,0,1,3,Spring,331
2024-03-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,65,4.99,0.0,0,0,2,3,Spring,266
2024-03-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,66,4.99,0.0,0,0,3,3,Spring,200
2024-03-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,72,4.99,0.0,0,0,4,3,Spring,128
2024-03-30,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,94,4.99,0.0,0,0,5,3,Spring,394
2024-03-31,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,6,3,Spring,321
2024-04-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,59,4.99,0.0,0,0,0,4,Spring,262
2024-04-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,1,4,Spring,213
2024-04-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,2,4,Spring,158
2024-04-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,60,4.99,0.0,0,0,3,4,Spring,98
2024-04-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,62,4.99,0.0,0,0,4,4,Spring,396
2024-04-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,92,4.99,0.0,0,0,5,4,Spring,304
2024-04-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.99,0.0,0,0,6,4,Spring,228
2024-04-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,75,4.24,0.15,1,0,0,4,Spring,153
2024-04-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.24,0.15,1,0,1,4,Spring,77
2024-04-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,66,4.24,0.15,1,0,2,4,Spring,371
2024-04-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,87,4.24,0.15,1,0,3,4,Spring,284
2024-04-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,75,4.99,0.0,0,0,4,4,Spring,209
2024-04-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,77,4.99,0.0,0,0,5,4,Spring,132
2024-04-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,6,4,Spring,421
2024-04-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,0,4,Spring,366
2024-04-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,70,4.99,0.0,0,0,1,4,Spring,296
2024-04-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,59,4.99,0.0,0,0,2,4,Spring,237
2024-04-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,66,4.99,0.0,0,0,3,4,Spring,171
2024-04-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,78,4.99,0.0,0,0,4,4,Spring,93
2024-04-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,63,4.99,0.0,0,0,5,4,Spring,390
2024-04-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,6,4,Spring,317
2024-04-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,52,4.99,0.0,0,0,0,4,Spring,265
2024-04-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,75,4.99,0.0,0,0,1,4,Spring,190
2024-04-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,56,4.99,0.0,0,0,2,4,Spring,134
2024-04-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,67,4.99,0.0,0,0,3,4,Spring,427
2024-04-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,79,4.99,0.0,0,0,4,4,Spring,348
2024-04-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,5,4,Spring,275
2024-04-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,85,4.99,0.0,0,0,6,4,Spring,190
2024-04-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,57,4.99,0.0,0,0,0,4,Spring,133
2024-04-30,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.99,0.0,0,0,1,4,Spring,432
2024-05-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,2,5,Spring,383
2024-05-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.99,0.0,0,0,3,5,Spring,307
2024-05-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,90,4.24,0.15,1,0,4,5,Spring,217
2024-05-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,138,4.24,0.15,1,0,5,5,Spring,79
2024-05-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,139,4.24,0.15,1,0,6,5,Spring,300
2024-05-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,63,4.24,0.15,1,0,0,5,Spring,237
2024-05-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,50,4.99,0.0,0,0,1,5,Spring,187
2024-05-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,58,4.99,0.0,0,0,2,5,Spring,129
2024-05-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,58,4.99,0.0,0,0,3,5,Spring,431
2024-05-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,60,4.99,0.0,0,0,4,5,Spring,371
2024-05-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,88,4.99,0.0,0,0,5,5,Spring,283
2024-05-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.99,0.0,0,0,6,5,Spring,222
2024-05-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,0,5,Spring,167
2024-05-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,47,4.99,0.0,0,0,1,5,Spring,120
2024-05-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,70,4.99,0.0,0,0,2,5,Spring,410
2024-05-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,56,4.99,0.0,0,0,3,5,Spring,354
2024-05-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,74,4.99,0.0,0,0,4,5,Spring,280
2024-05-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,98,4.99,0.0,0,0,5,5,Spring,182
2024-05-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,59,4.99,0.0,0,0,6,5,Spring,123
2024-05-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,53,4.99,0.0,0,0,0,5,Spring,430
2024-05-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,65,4.99,0.0,0,0,1,5,Spring,365
2024-05-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,43,4.99,0.0,0,0,2,5,Spring,322
2024-05-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,65,4.99,0.0,0,0,3,5,Spring,257
2024-05-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,81,4.99,0.0,0,0,4,5,Spring,176
2024-05-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,97,4.99,0.0,0,0,5,5,Spring,79
2024-05-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,82,4.99,0.0,0,1,6,5,Spring,357
2024-05-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,57,4.99,0.0,0,1,0,5,Spring,300
2024-05-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,118,4.24,0.15,1,1,1,5,Spring,182
2024-05-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,87,4.24,0.15,1,0,2,5,Spring,95
2024-05-30,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,95,4.24,0.15,1,0,3,5,Spring,360
2024-05-31,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,119,4.24,0.15,1,0,4,5,Spring,241
2024-06-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.99,0.0,0,0,5,6,Summer,165
2024-06-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,6,6,Summer,92
2024-06-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,52,4.99,0.0,0,0,0,6,Summer,400
2024-06-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,47,4.99,0.0,0,0,1,6,Summer,353
2024-06-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,2,6,Summer,282
2024-06-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,66,4.99,0.0,0,0,3,6,Summer,216
2024-06-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,62,4.99,0.0,0,0,4,6,Summer,154
2024-06-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,93,4.99,0.0,0,0,5,6,Summer,61
2024-06-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,60,4.99,0.0,0,0,6,6,Summer,361
2024-06-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,56,4.99,0.0,0,0,0,6,Summer,305
2024-06-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,62,4.99,0.0,0,0,1,6,Summer,243
2024-06-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,49,4.99,0.0,0,0,2,6,Summer,194
2024-06-13,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,70,4.99,0.0,0,0,3,6,Summer,124
2024-06-14,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,81,4.99,0.0,0,0,4,6,Summer,403
2024-06-15,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,95,4.99,0.0,0,0,5,6,Summer,308
2024-06-16,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,90,4.99,0.0,0,0,6,6,Summer,218
2024-06-17,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,48,4.99,0.0,0,0,0,6,Summer,170
2024-06-18,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,47,4.99,0.0,0,0,1,6,Summer,123
2024-06-19,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,48,4.99,0.0,0,0,2,6,Summer,435
2024-06-20,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,54,4.99,0.0,0,0,3,6,Summer,381
2024-06-21,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,75,4.99,0.0,0,0,4,6,Summer,306
2024-06-22,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,129,4.24,0.15,1,0,5,6,Summer,177
2024-06-23,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,106,4.24,0.15,1,0,6,6,Summer,71
2024-06-24,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,81,4.24,0.15,1,0,0,6,Summer,350
2024-06-25,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,76,4.24,0.15,1,0,1,6,Summer,274
2024-06-26,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,68,4.99,0.0,0,0,2,6,Summer,206
2024-06-27,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,59,4.99,0.0,0,0,3,6,Summer,147
2024-06-28,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,107,4.99,0.0,0,0,4,6,Summer,40
2024-06-29,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,93,4.99,0.0,0,0,5,6,Summer,307
2024-06-30,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,61,4.99,0.0,0,0,6,6,Summer,246
2024-07-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,40,4.99,0.0,0,0,0,7,Summer,206
2024-07-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,54,4.99,0.0,0,0,1,7,Summer,152
2024-07-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,77,4.99,0.0,0,1,2,7,Summer,75
2024-07-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,98,4.99,0.0,0,1,3,7,Summer,337
2024-07-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,117,4.99,0.0,0,1,4,7,Summer,220
